state_name,state_fips,technology,file_id,file_name,download_link
South Dakota,46,Cable,1582441,bdc_46_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582441/1
Tennessee,47,Cable,1582442,bdc_47_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582442/1
Texas,48,Cable,1582443,bdc_48_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582443/1
United States Virgin Islands,78,Cable,1582455,bdc_78_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582455/1
Utah,49,Cable,1582444,bdc_49_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582444/1
Vermont,50,Cable,1582445,bdc_50_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582445/1
Virginia,51,Cable,1582446,bdc_51_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582446/1
Washington,53,Cable,1582447,bdc_53_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582447/1
West Virginia,54,Cable,1582448,bdc_54_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582448/1
Wisconsin,55,Cable,1582449,bdc_55_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582449/1
Wyoming,56,Cable,1582450,bdc_56_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582450/1
Alabama,01,Fiber to the Premises,1582456,bdc_01_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582456/1
Alaska,02,Fiber to the Premises,1582457,bdc_02_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582457/1
American Samoa,60,Fiber to the Premises,1582507,bdc_60_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582507/1
Arizona,04,Fiber to the Premises,1582458,bdc_04_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582458/1
Arkansas,05,Fiber to the Premises,1582459,bdc_05_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582459/1
California,06,Fiber to the Premises,1582460,bdc_06_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582460/1
Colorado,08,Fiber to the Premises,1582461,bdc_08_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582461/1
Commonwealth of the Northern Mariana Islands,69,Fiber to the Premises,1582509,bdc_69_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582509/1
Connecticut,09,Fiber to the Premises,1582462,bdc_09_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582462/1
Delaware,10,Fiber to the Premises,1582463,bdc_10_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582463/1
District of Columbia,11,Fiber to the Premises,1582464,bdc_11_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582464/1
Florida,12,Fiber to the Premises,1582465,bdc_12_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582465/1
